epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8015.66,0.30332,0.20865,0.8319,0.97338,0.96187,0.98775,0.86011,0.54111,0.30597,0.91837,0.00375538,0.00375538,0.00375538
43,8202.74,0.30167,0.21575,0.83483,0.98409,0.95128,0.98971,0.86636,0.52807,0.30209,0.90294,0.00360308,0.00360308,0.00360308
44,8402.96,0.3074,0.21297,0.83607,0.98243,0.95959,0.98949,0.87006,0.52304,0.29549,0.90231,0.00345077,0.00345077,0.00345077
45,8592.32,0.28624,0.19955,0.82807,0.98124,0.95124,0.99021,0.87234,0.53054,0.29468,0.90405,0.00329846,0.00329846,0.00329846
46,8793.15,0.29549,0.20571,0.82877,0.97377,0.96521,0.99005,0.87121,0.52967,0.28528,0.90751,0.00314615,0.00314615,0.00314615
47,8982.65,0.28409,0.20005,0.83027,0.97395,0.96184,0.98946,0.87288,0.52718,0.29054,0.90928,0.00299385,0.00299385,0.00299385
48,9181.36,0.2832,0.19548,0.82879,0.98272,0.95774,0.99075,0.87035,0.52214,0.28878,0.90483,0.00284154,0.00284154,0.00284154
49,9373.09,0.28185,0.19685,0.82709,0.98033,0.95113,0.98963,0.86537,0.52756,0.28743,0.91021,0.00268923,0.00268923,0.00268923
50,9562.15,0.28534,0.19164,0.82819,0.97196,0.9536,0.98867,0.86801,0.52351,0.29256,0.90072,0.00253692,0.00253692,0.00253692
51,9749.82,0.27911,0.19182,0.82626,0.9734,0.96595,0.99115,0.87461,0.5174,0.2868,0.90036,0.00238462,0.00238462,0.00238462
52,9944.82,0.27657,0.1916,0.82476,0.97767,0.95201,0.99018,0.87812,0.50711,0.27684,0.89635,0.00223231,0.00223231,0.00223231
53,10143.2,0.27573,0.19464,0.82814,0.97623,0.96365,0.98948,0.876,0.51252,0.28222,0.89619,0.00208,0.00208,0.00208
54,10331.8,0.26986,0.18542,0.82447,0.98503,0.95091,0.99005,0.87552,0.51897,0.28198,0.90192,0.00192769,0.00192769,0.00192769
55,10526.8,0.26079,0.17974,0.82161,0.98539,0.94917,0.99003,0.88028,0.50423,0.27192,0.89423,0.00177538,0.00177538,0.00177538
56,10724.5,0.51151,0.29031,0.88649,0.98068,0.96288,0.99129,0.87976,0.49727,0.27625,0.88281,0.00162308,0.00162308,0.00162308
57,10915.7,0.50944,0.29063,0.88866,0.9814,0.97419,0.99243,0.88987,0.49067,0.26514,0.87951,0.00147077,0.00147077,0.00147077
58,11112.3,0.50196,0.28434,0.88302,0.9837,0.96858,0.99241,0.88596,0.49059,0.26713,0.8813,0.00131846,0.00131846,0.00131846
59,11302.9,0.49311,0.27226,0.87984,0.98819,0.96537,0.99295,0.88851,0.49106,0.25491,0.88136,0.00116615,0.00116615,0.00116615
60,11493.7,0.48816,0.26408,0.87578,0.98696,0.97064,0.99331,0.88955,0.48383,0.25127,0.87276,0.00101385,0.00101385,0.00101385
61,11681.1,0.48466,0.26417,0.87217,0.98693,0.96199,0.99296,0.89692,0.47743,0.24879,0.86948,0.000861538,0.000861538,0.000861538
62,11881.3,0.47494,0.25449,0.86558,0.98962,0.97192,0.99321,0.89196,0.4756,0.24267,0.86762,0.000709231,0.000709231,0.000709231
63,12070.6,0.47032,0.24703,0.86524,0.98141,0.97778,0.99317,0.895,0.47374,0.23722,0.87102,0.000556923,0.000556923,0.000556923
64,12263,0.464,0.24382,0.8643,0.98761,0.9723,0.99311,0.89392,0.47176,0.23441,0.86627,0.000404615,0.000404615,0.000404615
65,12448.9,0.45853,0.23771,0.86335,0.98371,0.97774,0.99328,0.89941,0.46688,0.23215,0.86451,0.000252308,0.000252308,0.000252308
